Class,Day,Course,Section,Type,Time
C-409,Wednesday,Automata ,CS-D,Theory,10:00-11:20
C-409,Wednesday,Comp Net ,CS-D,Theory,11:30-12:50
C-409,Wednesday,SDA ,CS-D,Theory,01:00-02:20
C-409,Wednesday,Knowl Rep ,AI-A,Theory,02:30-03:50
C-409,Wednesday,TBW ,AI-A,Theory,03:55-05:15
C-410,Wednesday,Comp Net ,CS-E,Theory,08:30-09:50
C-410,Wednesday,SDA ,CS-E,Theory,10:00-11:20
C-410,Wednesday,Numerical ,CS-K,Theory,11:30-12:50
C-410,Wednesday,Automata ,CS-E,Theory,01:00-02:20
C-410,Wednesday,TBW ,AI-B,Theory,02:30-03:50
C-410,Wednesday,Knowl Rep ,AI-B,Theory,03:55-05:15
B-227,Wednesday,TBW ,CS-J/K,Theory,10:00-11:20
B-227,Wednesday,Numerical ,CS-H,Theory,11:30-12:50
B-227,Wednesday,Numerical ,CS-F,Theory,01:00-02:20
B-227,Wednesday,ML ,AI-C,Theory,02:30-03:50
B-229,Wednesday,Deep Learn for Perc ,DS-D,Theory,08:30-09:50
B-229,Wednesday,OS ,AI-D,Theory,10:00-11:20
B-229,Wednesday,OS ,AI-C,Theory,11:30-12:50
B-229,Wednesday,ML ,AI-D,Theory,01:00-02:20
B-229,Wednesday,Fund of SPM ,SE-P,Theory,02:30-03:50
B-229,Wednesday,S/w Re-Engg ,SE-P,Theory,03:55-05:15
B-230,Wednesday,Web ,SE-G,Theory,08:30-09:50
B-230,Wednesday,Web ,SE-F,Theory,10:00-11:20
B-230,Wednesday,Web Prog ,CY-C/D,Theory,11:30-12:50
B-230,Wednesday,S/w Re-Engg ,SE-Q,Theory,02:30-03:50
B-230,Wednesday,Fund of SPM ,SE-Q,Theory,03:55-05:15
A-108,Wednesday,Numerical ,CS-B,Theory,10:00-11:20
A-108,Wednesday,Data Analysis ,DS-B,Theory,11:30-12:50
A-108,Wednesday,Algo ,DS-B,Theory,01:00-02:20
A-108,Wednesday,OS ,DS-B,Theory,03:55-05:15
A-211,Wednesday,Algo ,AI-D,Theory,08:30-09:50
A-211,Wednesday,Algo ,AI-C,Theory,10:00-11:20
A-211,Wednesday,Data Ware & BI ,DS-C,Theory,11:30-12:50
A-211,Wednesday,TBW ,DS-C,Theory,01:00-02:20
A-211,Wednesday,Data Ware & BI ,DS-D,Theory,02:30-03:50
A-211,Wednesday,TBW ,DS-D,Theory,03:55-05:15
A-301,Wednesday,Digi Forensics ,CY-A,Theory,08:30-09:50
A-301,Wednesday,DB ,CY-A,Theory,10:00-11:20
A-301,Wednesday,Algo ,CY-A,Theory,11:30-12:50
A-301,Wednesday,OS ,DS-A,Theory,01:00-02:20
A-301,Wednesday,Data Analysis ,DS-A,Theory,02:30-03:50
A-301,Wednesday,Algo ,DS-A,Theory,03:55-05:15
A-302,Wednesday,Algo ,CY-B,Theory,08:30-09:50
A-302,Wednesday,Digi Forensics ,CY-B,Theory,10:00-11:20
A-302,Wednesday,DB ,CY-B,Theory,11:30-12:50
