Class,Day,Course,Section,Type,Time
C-405,Monday,Data St ,DS-A,Theory,08:30-09:50
C-405,Monday,Intro to DS ,DS-A,Theory,10:00-11:20
C-405,Monday,LA ,DS-A,Theory,11:30-12:50
C-405,Monday,DLD ,DS-A,Theory,01:00-02:20
C-405,Monday,Data Ware & BI ,DS-D,Theory,02:30-03:50
C-405,Monday,TBW ,DS-D,Theory,03:55-05:15
C-406,Monday,Intro to DS ,DS-B,Theory,08:30-09:50
C-406,Monday,LA ,DS-B,Theory,10:00-11:20
C-406,Monday,DLD ,DS-B,Theory,11:30-12:50
C-406,Monday,Data St ,DS-B,Theory,01:00-02:20
C-406,Monday,Comp Net ,DS-M,Theory,02:30-03:50
C-406,Monday,Info Sec ,DS-M,Theory,03:55-05:15
C-407,Monday,LA ,SE-A,Theory,08:30-09:50
C-407,Monday,COAL ,SE-A,Theory,10:00-11:20
C-407,Monday,Prob & Stats ,DS-C,Theory,11:30-12:50
C-407,Monday,SRE ,SE-A,Theory,01:00-02:20
C-407,Monday,Info Sec ,DS-N,Theory,02:30-03:50
C-407,Monday,Comp Net ,DS-N,Theory,03:55-05:15
C-408,Monday,COAL ,SE-B,Theory,08:30-09:50
C-408,Monday,LA ,SE-B,Theory,10:00-11:20
C-408,Monday,SRE ,SE-B,Theory,11:30-12:50
C-408,Monday,Numerical ,CS-F,Theory,01:00-02:20
C-408,Monday,Fund of SPM ,SE-P,Theory,02:30-03:50
C-408,Monday,S/w Re-Engg ,SE-P,Theory,03:55-05:15
C-409,Monday,SDA ,CS-C,Theory,08:30-09:50
C-409,Monday,Comp Net ,CS-C,Theory,10:00-11:20
C-409,Monday,SDA ,CS-A,Theory,11:30-12:50
C-409,Monday,Comp Net ,CS-A,Theory,01:00-02:20
C-409,Monday,S/w Re-Engg ,SE-Q,Theory,02:30-03:50
C-409,Monday,Fund of SPM ,SE-Q,Theory,03:55-05:15
C-410,Monday,Comp Net ,CS-G,Theory,08:30-09:50
C-410,Monday,SDA ,CS-G,Theory,10:00-11:20
C-410,Monday,Automata ,CS-G,Theory,11:30-12:50
C-410,Monday,Automata ,CS-C,Theory,01:00-02:20
C-410,Monday,TBW ,CS-B/F,Theory,02:30-03:50
C-410,Monday,DB ,"AI-A, 22",Theory,03:55-05:15
B-227,Monday,Automata ,CS-D,Theory,10:00-11:20
B-227,Monday,Comp Net ,CS-D,Theory,11:30-12:50
B-227,Monday,SDA ,CS-D,Theory,01:00-02:20
B-227,Monday,Numerical ,CS-J,Theory,02:30-03:50
B-229,Monday,Comp Net ,CS-E,Theory,08:30-09:50
B-229,Monday,SDA ,CS-E,Theory,10:00-11:20
B-229,Monday,Numerical ,CS-H,Theory,11:30-12:50
B-229,Monday,Automata ,CS-E,Theory,01:00-02:20
B-229,Monday,DB ,"CS-A, 22",Theory,02:30-03:50
B-229,Monday,OS ,"CS-A, 22",Theory,03:55-05:15
B-230,Monday,TBW ,CS-J/K,Theory,10:00-11:20
B-230,Monday,Numerical ,CS-K,Theory,11:30-12:50
B-230,Monday,TBW ,CS-H,Theory,01:00-02:20
B-230,Monday,OS ,"CS-B, 22",Theory,02:30-03:50
B-230,Monday,DB ,"CS-B, 22",Theory,03:55-05:15
A-108,Monday,Deep Learn for Perc ,DS-D,Theory,08:30-09:50
A-108,Monday,Numerical ,CS-B,Theory,10:00-11:20
A-108,Monday,Data Ware & BI ,DS-C,Theory,11:30-12:50
A-108,Monday,TBW ,DS-C,Theory,01:00-02:20
A-108,Monday,Algo ,"CS-A, 22",Theory,02:30-03:50
A-108,Monday,Algo ,"CS-B, 22",Theory,03:55-05:15
A-211,Monday,Stat Modeling ,B,Theory,08:30-09:50
A-211,Monday,Stat Modeling ,CS-Robo A,Theory,10:00-11:20
A-211,Monday,FSM,FSM,Theory,11:30-12:50
A-211,Monday,FSM,FSM,Theory,01:00-02:20
A-211,Monday,FSM,FSM,Theory,02:30-03:50
A-211,Monday,FSM,FSM,Theory,03:55-05:15
A-301,Monday,Digi Forensics ,CY-A,Theory,08:30-09:50
A-301,Monday,DB ,CY-A,Theory,10:00-11:20
A-301,Monday,Algo ,CY-A,Theory,11:30-12:50
A-301,Monday,Emb Control ,CS-Robo,Theory,01:00-02:20
A-301,Monday,Robo Tech ,CS-Robo,Theory,02:30-03:50
A-302,Monday,Algo ,CY-B,Theory,08:30-09:50
A-302,Monday,Digi Forensics ,CY-B,Theory,10:00-11:20
A-302,Monday,DB ,CY-B,Theory,11:30-12:50
A-302,Monday,ML ,AI-D,Theory,01:00-02:20
A-302,Monday,Knowl Rep ,AI-A,Theory,02:30-03:50
A-302,Monday,TBW ,AI-A,Theory,03:55-05:15
A-303,Monday,Algo ,AI-D,Theory,08:30-09:50
A-303,Monday,Algo ,AI-C,Theory,10:00-11:20
A-303,Monday,OS ,AI-C,Theory,11:30-12:50
A-303,Monday,Proc Mining ,SE-G,Theory,01:00-02:20
A-303,Monday,TBW ,AI-B,Theory,02:30-03:50
A-303,Monday,Knowl Rep ,AI-B,Theory,03:55-05:15
A-305,Monday,OS ,SE-B,Theory,08:30-09:50
A-305,Monday,Proc Mining ,SE-B,Theory,10:00-11:20
A-305,Monday,Web ,SE-C,Theory,11:30-12:50
A-305,Monday,Web ,SE-B,Theory,01:00-02:20
A-305,Monday,ML ,AI-C,Theory,02:30-03:50
A-310,Monday,Proc Mining ,SE-C,Theory,08:30-09:50
A-310,Monday,Web ,SE-F,Theory,10:00-11:20
A-310,Monday,Proc Mining ,SE-F,Theory,11:30-12:50
A-310,Monday,OS ,SE-C/F,Theory,01:00-02:20
A-310,Monday,DB ,"DS-A, 22",Theory,02:30-03:50
A-311,Monday,Web ,SE-G,Theory,08:30-09:50
A-311,Monday,OS ,SE-G,Theory,10:00-11:20
A-311,Monday,S/w Qual Engg ,SE-A,Theory,11:30-12:50
A-311,Monday,TBW ,SE-A,Theory,01:00-02:20
A-311,Monday,OOP ,SE,Theory,02:30-03:50
